Log Item #,Source Task/Discrep. #,Description,Actual Man Hrs.
HMV23/000059/0923/1,AIRCRAFT ARRIVAL INSPECTION,"1. DURING INSPECTION OBERVED LH WING SLATE #01, TRACK#02 ,#03, #04 UPPER BULB SEAL DAMAGE.SAME TO BE REPLACED.

2. DURING INSPECTION OBSERVED SLAT#02 TRACK #5 PLATE DAMAGE.SAME TO BE REPLACED.",4.0
HMV23/000059/0923/2,AIRCRAFT ARRIVAL INSPECTION,"DURING ARRIVAL INSPECTION CHECK FOUND FAILURE MESSAGE IN PFR "" NO ADF 1 DATA (INTM) "".",4.0
HMV23/000059/0923/3,AIRCRAFT ARRIVAL INSPECTION,"DURING ARRIVAL INSPECTION FOUND STATIC DISCHARGERS DAMAGED AT LOCATION : 
1) LH HORZ STAB TYPE A DISCHARGER QTY# 2 & TYPE B DISCHARGER QTY#3 
2) RH HORZ STAB TYPE A DISCHARGER QTY#1 
3)VERTICAL STABILISER TYPE A DISCHARGER QTY 01 & TYPE B DISCHARGER QTY 02.",5.0
HMV23/000059/0923/4,AIRCRAFT ARRIVAL INSPECTION,"DURING ARRIVAL CHECK FOUND SERVICE LIGHT LAMP INOP AT FOLLOWING LOCATION 
1.103VU BATTERY COMPARMENT LAMP FIN: 8LS QTY#1,.
2. REFUEL/DEFUEL CONTROL PANEL FLOODLIGHT LAMP FIN: 32QU.",3.0
HMV23/000059/0923/5,AIRCRAFT ARRIVAL INSPECTION,"DURING ARRIVAL INSPECTION , OBSERVED FOLLOWINS DICREPANCIES.

1) RH SIDE WING NO#1 SLAT, NO.3 TRACK SQURE SEAL UPPER BULB SEAL DEGRADED.
2) RH SIIDE WING SLAT NO#5 OUT BOARD WEATHER SEAL ERODED. SAME TO BE REPLACED.",0.0
HMV23/000059/0923/6,AIRCRAFT ARRIVAL INSPECTION,"DURING INSPECTION FOUND FOLLOWING FORWARD CARGO FLOOR PANEL DAMAGED , TO BE FABRICATED/REPLACED 



131EF P/N D5367521000000 

131FF P/N D5367400800000 

131BF P/N D5367401200000 

131JF P/N D5367400600000",15.0
HMV23/000059/0923/7,AIRCRAFT ARRIVAL INSPECTION,"DURING INSPECTION FOUND FOLLOWING AFT CARGO FLOOR PANEL DAMAGED , TO BE FABRICATED/REPLACED

151LF P/N D5367521106800 

151GF P/N D5367521100400 

151DF P/N D5367521100200 

151EF P/N D5367402100000",20.0
HMV23/000059/0923/8,AIRCRAFT ARRIVAL INSPECTION,"DURING ARRIVAL INSPECTION OF FORWARD CARGO , FOUND HARDWARE DAMAGED/MISSING",5.0
HMV23/000059/0923/9,AIRCRAFT ARRIVAL INSPECTION,"DURING ARRIVAL INSPECTION OF AFT CARGO , FOUND 
1) CARGO SECTION HOSE MISSING/ DAMAGED 
2) FOUND HARDWARE DAMAGED/MISSING",7.0
HMV23/000059/0923/10,215222-01-1 (LH),DURING OPPORTUNITY INSPECTION FOUND BELLY PANEL HARDWARE DAMAGED/MISSING,2.0
HMV23/000059/0923/11,531900-03-1,"DURING INSPECTION FOUND PISTON TYPE DRAIN VALVES FOUND DAMAGED/ DEFECTIVE 

VALVE P/N ABS0341-2-01",4.0
HMV23/000059/0923/12,384241-01-1,"DURING INSPECTION FOUND COMPRESSOR INLET FILTER BLOCKED , TO BE
 REPLACED",3.0
HMV23/000059/0923/13,215222-01-1 (LH),"DURING OPPORTUNITY INSPECTION FOUND LH ACM ANTI ICE TUBE FOUND TORN , TO BE REPLACED 

P/N 3455-23",2.5
