,HMV23/000059/0923/1,HMV23/000059/0923/2,HMV23/000059/0923/3,HMV23/000059/0923/4,HMV23/000059/0923/5,HMV23/000059/0923/6,HMV23/000059/0923/7,HMV23/000059/0923/8,HMV23/000059/0923/9,HMV23/000059/0923/10,HMV23/000059/0923/11,HMV23/000059/0923/12,HMV23/000059/0923/13,HMV23/000059/0923/14,HMV23/000059/0923/15,HMV23/000059/0923/16,HMV23/000059/0923/17,HMV23/000059/0923/18,HMV23/000059/0923/19,HMV23/000059/0923/20,HMV23/000059/0923/21,HMV23/000055/0923/1,HMV23/000055/0923/2,HMV23/000055/0923/3,HMV23/000055/0923/4,HMV23/000055/0923/5,HMV23/000055/0923/6,HMV23/000055/0923/7,HMV23/000055/0923/8,HMV23/000055/0923/9,HMV23/000055/0923/10,HMV23/000055/0923/11,HMV23/000055/0923/12,HMV23/000055/0923/13,HMV23/000055/0923/14,HMV23/000055/0923/15,HMV23/000055/0923/16,HMV23/000055/0923/17,HMV23/000055/0923/18,HMV23/000055/0923/19,HMV23/000055/0923/20,HMV23/000055/0923/21,HMV23/000055/0923/22,HMV23/000055/0923/23,HMV23/000055/0923/24,HMV23/000055/0923/25,HMV23/000055/0923/26,HMV23/000043/0823/1,HMV23/000043/0823/2,HMV23/000043/0823/3,HMV23/000043/0823/4,HMV23/000043/0823/5,HMV23/000043/0823/6,HMV23/000043/0823/7,HMV23/000043/0823/8,HMV23/000043/0823/9,HMV23/000043/0823/10,HMV23/000043/0823/11,HMV23/000043/0823/12,HMV23/000043/0823/13,HMV23/000043/0823/14,HMV23/000043/0823/15
HMV23/000059/0923/1,1.0000000000000002,0.10078883317410034,0.1240904947654713,0.184682494176156,0.6907195198272308,0.06733760264366508,0.13251729002211252,0.06733760264366508,0.10133490642132358,0.19870308307938614,0.16439671949493762,0.013791702592934961,0.20679061234319002,0.1350341111059637,0.11462882860591905,0.13083665318046653,0.37181017999207483,0.04370454901454017,0.1811107670685001,0.16569425784203673,0.15453175776390338,0.04142289544424415,0.8180349682056643,0.11637091471649247,0.1419530245878305,0.15526803919723772,0.7871628012996454,0.057073318094415515,0.0417639527441071,0.05944295659619284,0.1662709285199427,0.1051839171093478,0.11919900735561909,0.04763361242931585,0.07160338280254654,0.16439671949493762,0.16359911534585833,0.12506770715097468,0.15753114844592758,0.03668535559912909,0.03679382140180095,0.187995522797124,0.19870308307938614,0.12472263109663252,0.013791702592934961,0.3482590308488178,0.12142860773926627,0.1551850358655027,0.05313751650994438,0.04692296508635284,0.17116293497649684,0.03537632415113119,0.147083624454536,0.18349710696202676,0.19837443999378962,0.20259922873156588,0.3008132828063911,0.29675209250028095,0.7871628012996454,0.19835153666645455,0.10960026917884588,0.05242303691274799
HMV23/000059/0923/2,0.10078883317410034,0.9999999999999999,0.08845727850900946,0.2651635089488492,0.09416481489003604,0.1308496194399468,0.15584305735006143,0.1308496194399468,0.1604629218449335,0.23564041424881277,0.18960303732311828,0.026698374616757108,0.2050198602825852,0.08808614149241231,0.27189193354389884,0.09087482818692325,0.13683807434110956,0.02174082196532147,0.02361246616016633,0.17953103605916373,0.16823407473667398,0.13271710461083525,0.11308362770081822,0.20911784337112044,0.24173526546015273,0.5100917483766003,0.11351483091668371,0.09288065219580796,0.13380983694783782,0.09296271699555217,0.2997302258326894,0.12369844888648804,0.1401804831376524,0.016106703139233722,0.11338234819973808,0.18960303732311828,0.07319033722513132,0.12073190229676847,0.1003448595722099,0.03340022814442761,0.04252204813007518,0.31439391841403475,0.23564041424881277,0.060784790574722025,0.026698374616757108,0.1281704959080708,0.06112003454035482,0.1263951515429716,0.032488407550136704,0.05709247894732902,0.03643499288757249,0.04253889825809396,0.01266841066407127,0.07864521615363126,0.024961888925508668,0.019225008111672694,0.06559367717582458,0.18559313623706547,0.11351483091668371,0.1787356685078706,0.33246356899413343,0.040170067292041534
HMV23/000059/0923/3,0.1240904947654713,0.08845727850900946,1.0,0.13075230487857528,0.11547708353736656,0.07194479984244455,0.0935051352243974,0.07194479984244455,0.06970250576599975,0.11867206763205582,0.09142369084938146,0.017391544007604117,0.15537224614001247,0.14663402473563958,0.07899874433202203,0.068378274907328,0.15421419053567342,0.0138605163542514,0.02794223787038637,0.08980752911434386,0.13105901982328658,0.0364627896262148,0.11748869176269931,0.07779920031590211,0.11924691018078022,0.11357595180849783,0.11554002145898505,0.04703263101402693,0.03676300766848388,0.04707418674554218,0.08150197923821598,0.07421851436216524,0.08410766096666533,0.010728326293209307,0.05148677632368912,0.09142369084938146,0.17807044288548207,0.5091174327213136,0.09368850934952466,0.012479451523846124,0.012516348909855672,0.13009676141144502,0.11867206763205582,0.06234616644604908,0.017391544007604117,0.1874233961942745,0.07290515111370952,0.1633658732319923,0.06025233583115975,0.03703960891358005,0.2275750438579337,0.02635812073442539,0.01751980364277068,0.08366314055024412,0.06069560698652979,0.04173996870482212,0.0816486515796096,0.1663470411549381,0.11554002145898505,0.36726942711811966,0.09695346010908512,0.025609789525935626
HMV23/000059/0923/4,0.184682494176156,0.2651635089488492,0.13075230487857528,1.0,0.1780269620806647,0.23363842947726843,0.17224873411258834,0.23363842947726843,0.2044798702901186,0.1440282801342753,0.23370078187249163,0.03998025148421549,0.19314646667661992,0.18890805395173824,0.3512226230295619,0.16240055367707878,0.2480115874180154,0.027249566223335256,0.0697582125958803,0.1688936839053199,0.1559791556590187,0.08212632499335097,0.20304389773139986,0.233878584652609,0.15233516272779962,0.2959589564186482,0.21205896996461698,0.07278409730367028,0.08280251583779838,0.07284840577081152,0.42258428722579955,0.13672024660378546,0.15493735286207888,0.029699317476482703,0.12416351384718177,0.23370078187249163,0.1403628877042261,0.24345033354448015,0.1205995868969478,0.029717894192401798,0.029805759641561375,0.700218909131723,0.1440282801342753,0.12529801207531668,0.03998025148421549,0.23230207165203473,0.08492031185523607,0.3108243366764277,0.0540900328784818,0.08612159406565109,0.10137908944636356,0.05666812268188322,0.016626383490948762,0.14239750470570167,0.0733205048867191,0.034898713713652614,0.17382778870767807,0.34424485915745073,0.21205896996461698,0.2719339807771707,0.30100797482666386,0.032685499523333876
HMV23/000059/0923/5,0.6907195198272308,0.09416481489003604,0.11547708353736656,0.1780269620806647,1.0000000000000002,0.11906462682771587,0.11263533456771782,0.11906462682771587,0.1340173717980263,0.26249914129644303,0.1529829981115844,0.03872947339075788,0.21454095879328694,0.13560329085461964,0.09796501786494413,0.10716127870168843,0.3056423776406794,0.04643828768938661,0.09852735601356719,0.1649243650683095,0.1636055211106675,0.03913344469498456,0.7527596403523598,0.10758294290231014,0.14760280702629183,0.13661517354017497,0.783717832375245,0.05578265393720466,0.039455651697630545,0.05829621975410897,0.14119139450891477,0.0894028672996374,0.1013152326869926,0.10377519424492723,0.107959773782747,0.1529829981115844,0.174280201802613,0.12765712909036153,0.15727859527077864,0.0510520168364226,0.051202959846071705,0.17888193945747888,0.26249914129644303,0.09177667895599377,0.03872947339075788,0.2862824203085032,0.11056534501642101,0.17059160925775188,0.051629557491463016,0.05312348558021798,0.11622828884997802,0.03862993903773143,0.0975854021211113,0.20113560843246375,0.14140192636472204,0.14533307986535926,0.27004278559588657,0.25975351233500366,0.783717832375245,0.19410528177480998,0.14074466777950434,0.055702120822608336
HMV23/000059/0923/6,0.06733760264366508,0.1308496194399468,0.07194479984244455,0.23363842947726843,0.11906462682771587,0.9999999999999998,0.32948187696167547,0.9999999999999998,0.6900450573755965,0.29228426266525426,0.12811116546816892,0.07781089672667695,0.17826144672490266,0.13492080849050905,0.057235747848228956,0.02719883997001015,0.19578571637235864,0.03000698832649749,0.020034219849860334,0.07740768688812309,0.12187568855278877,0.12551239435366304,0.10267418797379649,0.07220080912538282,0.08081450978626412,0.10207471514480283,0.10306569858360652,0.05588588304086123,0.12654580637999552,0.05593526107268866,0.06753451227146279,0.2896732740169633,0.3088465719013247,0.6020572883613261,0.6858073679565503,0.12811116546816892,0.07440325515546624,0.07507829727969131,0.12969643836341635,0.017988820979829758,0.0330847317643985,0.13743403076851327,0.29228426266525426,0.04734941320137023,0.07781089672667695,0.16465341505952547,0.09159743647286275,0.08333209217322461,0.15167024729729778,0.26825190297003704,0.020263959754213114,0.2342706426778179,0.046451052763724236,0.06836607693617819,0.0325206836025547,0.05465176582117003,0.04601259324992577,0.09294295348135405,0.10306569858360652,0.11359057430201706,0.11392248781271541,0.0
HMV23/000059/0923/7,0.13251729002211252,0.15584305735006143,0.0935051352243974,0.17224873411258834,0.11263533456771782,0.32948187696167547,1.0,0.32948187696167547,0.3429242296027444,0.15340092525142152,0.2401125348228487,0.03239354347815493,0.15571059642080537,0.09354832343874636,0.09167062090789634,0.042473982860205005,0.14744578711371048,0.03212037088842038,0.05676943943484547,0.11183271694682353,0.14111535161159172,0.09377299160097018,0.14559625047695562,0.10308351256575936,0.1646904478853531,0.15197038703544516,0.14615142873485268,0.05469407496380577,0.11635431224444921,0.06741307503986277,0.12065385054026874,0.6736799310450818,0.8877096473212194,0.19130016030062474,0.3178791504537916,0.2401125348228487,0.13375648467030066,0.09362623628791725,0.14113587776068445,0.025335430183829707,0.033461427389419644,0.14985941984498663,0.15340092525142152,0.04106637920896579,0.03239354347815493,0.1581563749971032,0.07317726978215178,0.08452633345981071,0.1912310506039967,0.35437491460915477,0.04366477701202075,0.4157752199285128,0.039436804132178725,0.14167986203861557,0.10491068211321114,0.03387740247474816,0.11186152524570199,0.14808769364444088,0.14615142873485268,0.1532767590636241,0.1798759994671951,0.0
HMV23/000059/0923/8,0.06733760264366508,0.1308496194399468,0.07194479984244455,0.23363842947726843,0.11906462682771587,0.9999999999999998,0.32948187696167547,0.9999999999999998,0.6900450573755965,0.29228426266525426,0.12811116546816892,0.07781089672667695,0.17826144672490266,0.13492080849050905,0.057235747848228956,0.02719883997001015,0.19578571637235864,0.03000698832649749,0.020034219849860334,0.07740768688812309,0.12187568855278877,0.12551239435366304,0.10267418797379649,0.07220080912538282,0.08081450978626412,0.10207471514480283,0.10306569858360652,0.05588588304086123,0.12654580637999552,0.05593526107268866,0.06753451227146279,0.2896732740169633,0.3088465719013247,0.6020572883613261,0.6858073679565503,0.12811116546816892,0.07440325515546624,0.07507829727969131,0.12969643836341635,0.017988820979829758,0.0330847317643985,0.13743403076851327,0.29228426266525426,0.04734941320137023,0.07781089672667695,0.16465341505952547,0.09159743647286275,0.08333209217322461,0.15167024729729778,0.26825190297003704,0.020263959754213114,0.2342706426778179,0.046451052763724236,0.06836607693617819,0.0325206836025547,0.05465176582117003,0.04601259324992577,0.09294295348135405,0.10306569858360652,0.11359057430201706,0.11392248781271541,0.0
HMV23/000059/0923/9,0.10133490642132358,0.1604629218449335,0.06970250576599975,0.2044798702901186,0.1340173717980263,0.6900450573755965,0.3429242296027444,0.6900450573755965,0.9999999999999999,0.28773026618501885,0.12769771957440562,0.06535640123478818,0.1502427612799919,0.10002209701931034,0.07792462947549947,0.03483255436652244,0.21124127376343443,0.07191887131381881,0.02400838204050182,0.13471613698451526,0.1462953879282333,0.12244351368909889,0.12093366368920305,0.07304265795692622,0.11820766206642845,0.11111969948728206,0.12139480015740288,0.058979505460735285,0.12345165794643954,0.05903161686596578,0.0811052108752767,0.2255437492422981,0.3159364173812792,0.48604474961680316,0.9267610021026542,0.12769771957440562,0.06779780982365682,0.06837806210096166,0.1138881654912886,0.02059829951011327,0.029672566385287272,0.1631147625629064,0.28773026618501885,0.04985433157166835,0.06535640123478818,0.19786085813382398,0.103852047348241,0.12145569008561155,0.1688259947348257,0.24091832386385967,0.021621959570268308,0.2863481632874389,0.04166036335471399,0.06285984247071469,0.02538043090082557,0.08469730163328638,0.06528830054158773,0.10117932828057861,0.12139480015740288,0.11854860687416505,0.10702734629218993,0.014077081689466519
HMV23/000059/0923/10,0.19870308307938614,0.23564041424881277,0.11867206763205582,0.1440282801342753,0.26249914129644303,0.29228426266525426,0.15340092525142152,0.29228426266525426,0.28773026618501885,1.0000000000000002,0.20868684418137934,0.056754125164371505,0.3746046648774657,0.10870979818013332,0.10804062690317039,0.10538739147305351,0.3412473208043537,0.0,0.03761457978479733,0.17945741598244364,0.1548561910174826,0.10651539079910038,0.19382486811831992,0.12462534159045438,0.16788013672383234,0.23020313320238672,0.1945639486390514,0.0844373774108092,0.10739239012978904,0.09003581397816382,0.12488462510195115,0.12176003752755853,0.1379837907517713,0.10313471427255137,0.23525136741886155,0.20868684418137934,0.15207187634808825,0.0681211870198885,0.22112617701685086,0.0,0.0,0.1786033398450842,1.0000000000000002,0.11358490338770909,0.056754125164371505,0.3196320800727214,0.09959761601207287,0.18460465169093554,0.040044965200453544,0.09657342534613139,0.0652482906575264,0.035427509832438385,0.0,0.10755079335948076,0.03976420574618966,0.02956536841341257,0.058746611410102026,0.19028807960631777,0.1945639486390514,0.14660037145407662,0.14277438541368748,0.0
