,HMV23/000059/0923/1,HMV23/000059/0923/2,HMV23/000059/0923/3,HMV23/000059/0923/4,HMV23/000059/0923/5,HMV23/000059/0923/6,HMV23/000059/0923/7,HMV23/000059/0923/8,HMV23/000059/0923/9,HMV23/000059/0923/10,HMV23/000059/0923/11,HMV23/000059/0923/12,HMV23/000059/0923/13,HMV23/000059/0923/14,HMV23/000059/0923/15,HMV23/000059/0923/16,HMV23/000059/0923/17,HMV23/000059/0923/18,HMV23/000059/0923/19,HMV23/000059/0923/20,HMV23/000059/0923/21,HMV23/000055/0923/1,HMV23/000055/0923/2,HMV23/000055/0923/3,HMV23/000055/0923/4,HMV23/000055/0923/5,HMV23/000055/0923/6,HMV23/000055/0923/7,HMV23/000055/0923/8,HMV23/000055/0923/9,HMV23/000055/0923/10,HMV23/000055/0923/11,HMV23/000055/0923/12,HMV23/000055/0923/13,HMV23/000055/0923/14,HMV23/000055/0923/15,HMV23/000055/0923/16,HMV23/000055/0923/17,HMV23/000055/0923/18,HMV23/000055/0923/19,HMV23/000055/0923/20,HMV23/000055/0923/21,HMV23/000055/0923/22,HMV23/000055/0923/23,HMV23/000055/0923/24,HMV23/000055/0923/25,HMV23/000055/0923/26,HMV23/000043/0823/1,HMV23/000043/0823/2,HMV23/000043/0823/3,HMV23/000043/0823/4,HMV23/000043/0823/5,HMV23/000043/0823/6,HMV23/000043/0823/7,HMV23/000043/0823/8,HMV23/000043/0823/9,HMV23/000043/0823/10,HMV23/000043/0823/11,HMV23/000043/0823/12,HMV23/000043/0823/13,HMV23/000043/0823/14,HMV23/000043/0823/15
HMV23/000059/0923/1,1,0,0.024943589,0,0.282675748,0.10137521,0.104016506,0,0,0,0.043701083,0.164083479,0.131854755,0.095802715,0,0.07926354,0,0,0,0,0.094728085,0.068426501,0.29959679,0.053522659,0.054314011,0.050232841,0.242031224,0.049440868,0.011551917,0.011551917,0,0.083780974,0.095134476,0,0,0,0,0.018191054,0.030969532,0.049393239,0.042787727,0,0,0.080287609,0.134587621,0,0,0.056572373,0,0,0.119308326,0,0.084118672,0.063953071,0.086437937,0.110878756,0.054091687,0.079042037,0.218537244,0.03222987,0,0.020079861
HMV23/000059/0923/2,0,1,0.015472816,0.059426348,0.014314368,0.014526501,0.014904984,0.071988598,0.062228776,0.026848602,0.035973015,0.023512246,0.031270152,0,0.108795463,0.027240536,0.034239085,0,0,0.098616536,0,0.130949404,0,0.178806842,0.26740874,0.247315572,0,0.094616151,0.054392812,0.054392812,0,0.012005345,0.013632239,0.061369994,0.062228776,0.044689946,0.034719434,0.010959595,0.042580725,0,0,0.05278608,0.026137535,0.015066812,0.019285654,0.034239085,0.057902898,0.11944066,0,0.015302803,0,0.013973679,0.033324277,0,0,0,0,0,0.028063036,0.064360245,0.011288513,0
HMV23/000059/0923/3,0.024943589,0.015472816,1,0.042926315,0.017348702,0.014349996,0.014723881,0.044658246,0.045311199,0.026522377,0.208506762,0.008455404,0.023778212,0,0.016109492,0.104255207,0.113269005,0,0,0.007955422,0.011350507,0.029603608,0.019319436,0.013110331,0.013304172,0.012304493,0.013245681,0.032158972,0.03189812,0.03189812,0,0.011859474,0.0134666,0.044685886,0.045311199,0.229114263,0.012485699,0.853923007,0.045754207,0.022024084,0.021522797,0.069854606,0.02581995,0.090702047,0.006935449,0.113269005,0.036092724,0.065606587,0,0.005503148,0.245483752,0.005025173,0.02307041,0.006073396,0.015803667,0.014613282,0.00702161,0.018223824,0.022051867,0.201921108,0.004059541,0
HMV23/000059/0923/4,0,0.059426348,0.042926315,1,0.008140534,0.051963235,0.05331712,0.04093968,0.035389301,0.058064653,0.020457735,0.013371337,0.017783233,0,0.213714302,0.155259787,0.055794121,0,0,0.018732918,0,0.03276842,0,0.042134093,0.042757061,0.039544284,0,0.040706831,0.040376645,0.040376645,0.26144766,0.042944724,0.04876434,0.034900914,0.035389301,0.025415026,0.082155544,0.082848032,0.024215518,0.017750411,0.017346396,0.511926549,0.05652685,0.154424121,0.010967688,0.055794121,0.032929188,0.127388113,0,0.028949635,0.034877963,0.007946785,0.018951407,0,0,0,0,0,0.015959356,0.03660146,0.00641974,0
HMV23/000059/0923/5,0.282675748,0.014314368,0.017348702,0.008140534,1,0.044174465,0.045325416,0.023950068,0.01463083,0,0,0.071499728,0.047545594,0.041746239,0.014903375,0.144897757,0.010851338,0,0,0.025162954,0.03230257,0.227350409,0.37017956,0.054632449,0.05544021,0.051274417,0.575188737,0.164269711,0.19000076,0.19000076,0,0.036507739,0.041455052,0.014428919,0.01463083,0,0.019746098,0.020930444,0,0.0658167,0.059541696,0.024369569,0,0.119472872,0.058646845,0.010851338,0.016523761,0.062538838,0.026689912,0.005091128,0.053303758,0.004648938,0.136771713,0.118571353,0.134033287,0.137424684,0.128435406,0.085890918,0.359597907,0.035837066,0,0.008749842
HMV23/000059/0923/6,0.10137521,0.014526501,0.014349996,0.051963235,0.044174465,1,0.303470371,0.251231411,0.159866082,0.121213942,0.05482493,0.12139727,0.093445271,0.059712083,0.015124238,0.041665929,0.069501483,0,0,0.026796509,0.046204251,0.032602512,0.104832723,0.076281949,0.077409806,0.071593211,0.095913496,0.023556611,0,0,0,0.673021041,0.27755686,0.230186398,0.159866082,0.068110031,0,0.010164288,0.064895457,0.005892101,0.005757991,0.025589354,0.118003675,0.068527678,0.09957474,0.069501483,0.057083396,0.014722471,0,0.172413934,0.01088744,0.1118626,0.041744689,0.032991443,0.02260553,0.040194381,0.025772542,0.028653332,0.086603169,0,0.00918312,0.01251541
HMV23/000059/0923/7,0.104016506,0.014904984,0.014723881,0.05331712,0.045325416,0.303470371,1,0.13425628,0.216473793,0.12437213,0.056253375,0.124560234,0.095879956,0.061267861,0.015518294,0.042751521,0.07131232,0.042725885,0,0.027494683,0.047408087,0.03345196,0.107564104,0.078269449,0.079426692,0.073458548,0.09841249,0.024170371,0,0,0,0.250801386,0.914609419,0.161767638,0.216473793,0.069884615,0,0.010429115,0.066586286,0.006045617,0.005908014,0.026256076,0.12107822,0.080058271,0.102169126,0.07131232,0.058570684,0.015106059,0.040328629,0.17690612,0.011171109,0.181431389,0.042832332,0.033851024,0.023194509,0.041241632,0.026444037,0.029399885,0.088859585,0,0.009422383,0.012841495
HMV23/000059/0923/8,0,0.071988598,0.044658246,0.04093968,0.023950068,0.251231411,0.13425628,1,0.709627968,0.403942648,0.112761062,0.039339487,0.05231962,0,0.074950785,0.028183066,0.176297609,0,0,0,0,0.034871559,0,0.060996933,0.061898795,0.057247702,0,0.025196088,0.096378322,0.096378322,0,0.207628791,0.122792059,0.849003609,0.709627968,0.140085166,0.058090781,0.031632012,0.133473598,0.037506694,0.036653009,0.036365102,0.393244505,0.045511974,0.03226777,0.176297609,0.117406157,0.067254971,0,0.233821223,0.018123512,0.186315505,0.055756477,0,0.066402808,0.061401127,0.039370257,0.043770965,0.046953636,0.031282668,0.05690788,0
HMV23/000059/0923/9,0,0.062228776,0.045311199,0.035389301,0.01463083,0.159866082,0.216473793,0.709627968,1,0.399062657,0.137768958,0.048064111,0.063922948,0,0.064789365,0.034433444,0.197784621,0.052319533,0,0,0,0.021302648,0,0.052727301,0.053506894,0.049486371,0,0.01539201,0.058876446,0.058876446,0,0.132120427,0.197988971,0.922867966,1,0.171152941,0.035487012,0.032094507,0.163075074,0.022912422,0.022390916,0.031434919,0.388493758,0.067538813,0.039424044,0.197784621,0.143444231,0.059583281,0.049383999,0.254181914,0.011071452,0.280496797,0.048197317,0,0.040564737,0.037509266,0.024050852,0.026739196,0.028683454,0.019110234,0.103451364,0
HMV23/000059/0923/10,0,0.026848602,0.026522377,0.058064653,0,0.121213942,0.12437213,0.403942648,0.399062657,1,0.101330162,0.035351535,0.19954903,0,0.027953368,0.077009042,0.132518483,0,0,0,0,0,0,0.022749191,0.023085546,0.021350892,0,0,0,0,0,0.100176583,0.113751922,0.393555429,0.399062657,0.125884347,0,0.018786142,0.119943011,0,0,0.013562594,0.718522257,0.099765879,0.028996698,0.132518483,0.053833483,0.054421604,0,0.149479657,0,0.063176221,0.02079473,0,0,0,0,0,0,0,0.016972699,0
